product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/asian-firefly-04-black-sports-gym-jogging-walking-training-stylish-running-shoes-women/p/itmd603f4163d441?pid=SHOGGG7EGNCVV4PD&lid=LSTSHOGGG7EGNCVV4PD5GBM0O&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_7_265&otracker=search&otracker1=search&fm=Search&iid=a7acd268-ff2a-4703-928f-1feedce8eb7c.SHOGGG7EGNCVV4PD.SEARCH&ppt=sp&ppn=sp&ssid=8m75lkzcio0000001735941955636&qH=32e27b1148959538,"Firefly-04 Black Sports,Gym,Jogging,Walking,Training,Stylish Runn...more",asian,832,0.44,4.1,25879
https://www.flipkart.com/campus-claire-women-s-sports-shoes-memory-foam-insole-cushioned-comfort-lace-up-running-women/p/itm06bf69d5dfe5a?pid=SHOFW6Z7PQHMCFDK&lid=LSTSHOFW6Z7PQHMCFDKS3V0QY&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_7_268&otracker=search&otracker1=search&fm=Search&iid=a7acd268-ff2a-4703-928f-1feedce8eb7c.SHOFW6Z7PQHMCFDK.SEARCH&ppt=sp&ppn=sp&ssid=8m75lkzcio0000001735941955636&qH=32e27b1148959538,CLAIRE Women's Sports Shoes | Memory Foam Insole for Cushioned Co...more,CAMPUS,1146,0.18,4.3,47816
https://www.flipkart.com/asian-firefly-10-pink-sports-training-gym-walking-stylish-walking-shoes-women/p/itm47a04e96fe263?pid=SHOGHHFGZGHH75B6&lid=LSTSHOGHHFGZGHH75B69VYK7Y&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_7_269&otracker=search&otracker1=search&fm=Search&iid=a7acd268-ff2a-4703-928f-1feedce8eb7c.SHOGHHFGZGHH75B6.SEARCH&ppt=sp&ppn=sp&ssid=8m75lkzcio0000001735941955636&qH=32e27b1148959538,"Firefly-10 Pink Sports,Training,Gym,Walking,Stylish Walking Shoes...more",asian,832,0.44,4.2,13627
https://www.flipkart.com/campus-alice-women-s-sports-shoes-mesh-upper-anti-slip-sole-design-lace-up-running-women/p/itm6c7db23f2c8ff?pid=SHOFXNU8UH9HCESA&lid=LSTSHOFXNU8UH9HCESA1QO7VF&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_7_275&otracker=search&otracker1=search&fm=Search&iid=a7acd268-ff2a-4703-928f-1feedce8eb7c.SHOFXNU8UH9HCESA.SEARCH&ppt=sp&ppn=sp&ssid=8m75lkzcio0000001735941955636&qH=32e27b1148959538,ALICE Women's Sports Shoes | Mesh Upper with Anti Slip Sole Desig...more,CAMPUS,999,0.29,4.3,39220
https://www.flipkart.com/asian-firefly-08-white-gym-sports-walking-training-stylish-running-shoes-women/p/itm304bcb34c1711?pid=SHOGN8ZC4HREYFTN&lid=LSTSHOGN8ZC4HREYFTNS7XDQI&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_8_310&otracker=search&otracker1=search&fm=Search&iid=e82abd07-2088-4b68-bbcb-a7870115a69c.SHOGN8ZC4HREYFTN.SEARCH&ppt=sp&ppn=sp&ssid=aabarnzbq80000001735941957040&qH=32e27b1148959538,"Asian Firefly-08 White Gym,Sports,Walking,Training,Stylish Runnin...more",asian,759,0.49,4.1,25879
https://www.flipkart.com/campus-alice-women-s-sports-shoes-mesh-upper-anti-slip-sole-design-lace-up-running-women/p/itmc5bb93d7ae9d2?pid=SHOFXNU8ZJ8XXYHG&lid=LSTSHOFXNU8ZJ8XXYHGQEECHX&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_9_327&otracker=search&otracker1=search&fm=Search&iid=fc440851-1b8b-4c53-9d27-dde14dc95f38.SHOFXNU8ZJ8XXYHG.SEARCH&ppt=sp&ppn=sp&ssid=skztmsv6og0000001735941958329&qH=32e27b1148959538,ALICE Women's Sports Shoes | Mesh Upper with Anti Slip Sole Desig...more,CAMPUS,999,0.29,4.3,39220
https://www.flipkart.com/walkline-sports-gym-shoes-women-running-casual-women-walking/p/itma913deb1331a7?pid=SHOGXBF6HY4NMBCZ&lid=LSTSHOGXBF6HY4NMBCZRPEZDY&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_9_344&otracker=search&otracker1=search&fm=Search&iid=fc440851-1b8b-4c53-9d27-dde14dc95f38.SHOGXBF6HY4NMBCZ.SEARCH&ppt=sp&ppn=sp&ssid=skztmsv6og0000001735941958329&qH=32e27b1148959538,sports and gym shoes for women|Running and casual shoes for women...more,WalkLine,340,0.66,4.2,12085
https://www.flipkart.com/asian-superfly-03-black-sports-gym-training-casual-stylish-running-shoes-women/p/itmb58573a0c29e5?pid=SHOGHSZVXS68XSWA&lid=LSTSHOGHSZVXS68XSWAMOAVGI&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_9_360&otracker=search&otracker1=search&fm=Search&iid=fc440851-1b8b-4c53-9d27-dde14dc95f38.SHOGHSZVXS68XSWA.SEARCH&ppt=sp&ppn=sp&ssid=skztmsv6og0000001735941958329&qH=32e27b1148959538,"Superfly-03 Black Sports,Gym,Training,Casual,Stylish Running Shoe...more",asian,816,0.59,4.1,3973
https://www.flipkart.com/birde-premium-sports-shoes-women-walking/p/itm0f2fa6d339586?pid=SHOGJSB6B4XGE8DF&lid=LSTSHOGJSB6B4XGE8DF4OAR85&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_10_364&otracker=search&otracker1=search&fm=Search&iid=3f46c8ff-86f0-4aa1-9660-c7f6e90f480d.SHOGJSB6B4XGE8DF.SEARCH&ppt=sp&ppn=sp&ssid=xfoc43dum80000001735941959974&qH=32e27b1148959538,"Premium Sports Shoes for Women Walking Shoes For Women (Black , 4...more",Birde,346,0.65,3.9,54348
https://www.flipkart.com/campus-zoe-plus-women-s-casual-shoes-memory-foam-insole-pillo-slip-walking-women/p/itm7f640540a8a2e?pid=SHOFX3PFTKVN4ZTJ&lid=LSTSHOFX3PFTKVN4ZTJUCQYYX&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_10_377&otracker=search&otracker1=search&fm=Search&iid=3f46c8ff-86f0-4aa1-9660-c7f6e90f480d.SHOFX3PFTKVN4ZTJ.SEARCH&ppt=sp&ppn=sp&ssid=xfoc43dum80000001735941959974&qH=32e27b1148959538,ZOE PLUS Women's Casual Shoes | Memory Foam Insole with Pillo Foa...more,CAMPUS,764,0.04,4.1,22437
